唯一編碼,物業地址,全幢or大手,地盤面積,成交價,成交價(億港元),現樓面面積,現樓面呎價,可建樓面面積,重建呎價,地區,分類,入伙日期,照片,房間數目及每間售價,賣家,買家,資料來源,新聞連結,資料日期,備註,Date,地區_18區,數據年份,longitude_lands,latitude_lands,easting_lands,northing_lands
2023R025,英皇道983至987A及濱海街16至94號一列舊樓全幢（983-987A King's Road & 16-94 Pan Hoi Street）,全幢,"43,881平方呎",63.1億港元,63.1,,,"440,000平方呎","14,341港元/平方呎",鰂魚涌,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023R025.jpg,,,恒地、太古地產,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/942395/%E6%81%92%E5%9C%B0-%E5%A4%AA%E5%8F%A4%E5%BA%95%E5%83%B963-1%E5%84%84%E7%B5%B1%E4%B8%80%E9%B0%82%E9%AD%9A%E6%B6%8C%E8%88%8A%E6%A8%93%E6%A5%AD%E6%AC%8A-%E6%88%90%E6%AD%B7%E4%BE%86%E6%9C%80%E8%B2%B4%E5%BC%B7%E6%8B%8D%E9%A0%85%E7%9B%AE,2023-09-19,強拍,19/9/2023,東區,2023,114.2111,22.2862,839795,816365.6
2023S002,芬尼街3至9號商住地盤（3-9 Finnie Street）,大手,"4,200平方呎",4.3億港元,4.3,,,"42,000平方呎","9,810港元/平方呎",鰂魚涌,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023S002.jpg,,朱立基,宏安地產,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/891338/%E5%AF%8C%E5%95%86-%E8%B6%8A%E5%8D%97%E6%9C%B1-%E9%B0%82%E9%AD%9A%E6%B6%8C%E5%9C%B0%E7%9B%A4%E4%BA%A4%E6%98%93%E5%8F%96%E6%B6%88-%E6%94%B9%E7%94%B1%E5%AE%8F%E5%AE%894-3%E5%84%84%E6%8E%A5%E8%B2%A8,2023-04-25,,25/4/2023,東區,2023,114.2104,22.2886,839719.9,816633.6
2022I007,英皇道1067號仁孚工業大廈8樓（1067 King's Road）,大手,,2.89億港元,2.89,"17,540平方呎","16,465港元/平方呎",,,鰂魚涌,工業,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022I007.jpg,,昌榮電業李文博,太古集團,EPRC,,2022-03-09,市場消息：該項目將與毗鄰、正待批強拍令的船塢里8號華廈工業大廈合併發展，計劃重建總樓面約77.9萬方呎的辦公樓及其他商業用途。,9/3/2022,東區,2022,114.2147,22.2851,840166.5,816244.7
2022I008,英皇道1067號仁孚工業大廈14樓（1067 King's Road）,大手,,2.89億港元,2.89,"15,368平方呎","18,792港元/平方呎",,,鰂魚涌,工業,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022I008.jpg,,百齡興業有限公司,太古集團,市場消息,https://finance.mingpao.com/fin/dailyp/20220312/1647022717910/%E9%BD%A1%E8%A8%98%E5%AE%B6%E6%97%8F%E6%B2%BD%E4%BB%81%E5%AD%9A%E5%B7%A5%E5%BB%88-%E5%8D%8A%E4%B8%96%E7%B4%80%E5%8B%81%E8%B3%BA2-8%E5%84%84,2022-03-12,市場消息：該項目將與毗鄰、正待批強拍令的船塢里8號華廈工業大廈合併發展，計劃重建總樓面約77.9萬方呎的辦公樓及其他商業用途。,12/3/2022,東區,2022,114.2148,22.2851,840174.9,816245.3
2022I017,嘉業街50號嘉里（柴灣）貨倉全幢（50 Ka Yip Street）,全幢,,22.9億港元,22.9,"521,253平方呎","4,393港元/平方呎",,,柴灣,工業,15/9/1986,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022I017.jpg,,嘉里,華潤物流,市場消息,https://winfo.crc.com.cn/news/profit/202206/t20220609_609907.htm,2022-06-09,,9/6/2022,東區,2022,114.2461,22.2699,843406.3,814560
2022S017,英皇道101號及111號(60％業權)（101&111 King's Road）,大手,"12,695平方呎",13.38億港元,13.38,,,,,北角,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022S017.jpg,,旭輝控股,宏安地產及匯集基金,市場消息,https://std.stheadline.com/realtime/article/1871493/%E5%8D%B3%E6%99%82-%E5%9C%B0%E7%94%A2-%E8%88%8A%E6%A8%93%E6%94%B6%E8%B3%BC-%E5%AE%8F%E5%AE%89%E5%A4%A5%E5%8C%AF%E9%9B%86%E5%9F%BA%E9%87%91%E6%96%A513-38%E5%84%84%E8%B3%BC%E8%8B%B1%E7%9A%87%E9%81%93%E8%88%8A%E6%A8%93%E6%AC%8A%E7%9B%8A,2022-09-09,,9/9/2022,東區,2022,114.1926,22.2872,837893.3,816476.8
2022P001,福蔭道1至5號海峰園停車場119個車位（1-5 Fook Yum Road）,大手,,2.18億港元,2.18,,,,,北角,車位或停車場大廈,31/8/1988,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022P001.jpg,,協成行,陳秉志,市場消息,https://std.stheadline.com/daily/article/2477111/%E6%97%A5%E5%A0%B1-%E5%9C%B0%E7%94%A2-%E5%8D%94%E6%88%90%E8%A1%8C%E6%B2%BD%E5%8C%97%E8%A7%92%E6%B5%B7%E5%B3%B0%E5%9C%92%E8%BB%8A%E5%A0%B4-%E7%A3%81%E5%B8%B6%E5%A4%A7%E7%8E%8B-2-18%E5%84%84%E6%89%BF%E6%8E%A5,2022-07-22,每個車位平均作價約183萬,22/7/2022,東區,2022,114.1914,22.2877,837766.7,816537.8
2021I002,利眾街18號美利倉大廈全幢（18 Lee Chung Street）,全幢,"6,685平方呎",5.75億港元,5.75,"68,297平方呎","8,419港元/平方呎",,,柴灣,工業,6/8/1980,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021I002.jpg,,Storage Holding Limited,Rainbow Jade Enterprises Limited,EPRC,,2021-01-20,,20/1/2021,東區,2021,114.2372,22.2658,842482.5,814110.4
2021I026,阿公岩村道8號精雅印刷集團大廈全幢（8 A Kung Ngam Village Road）,全幢,"11,666平方呎",5億港元,5,"69,680平方呎","7,176港元/平方呎","168,000平方呎","2,976港元/平方呎",筲箕灣,工業,22/1/1980,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021I026.jpg,,鄧成波家族,黑石基金,市場消息,https://www2.hkej.com/property/article/id/2958162/%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F%E5%82%B3%E8%9D%958000%E8%90%AC%E5%94%AE%E7%B2%BE%E9%9B%85%E5%8D%B0%E5%88%B7%E9%9B%86%E5%9C%98%E5%A4%A7%E5%BB%88,2021-11-04,,4/11/2021,東區,2021,114.2325,22.2814,841998.1,815839.6
2021I027,嘉業街60號柴灣貨倉全幢，包 括20個貨車泊車位及25個私人泊車位（60 Ka Yip Street）,全幢,"62,528平方呎",27億港元,27,"438,351平方呎",,,,柴灣,工業,15/9/1986,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021I027.jpg,,怡和集團,領展,市場消息,https://hk.finance.yahoo.com/news/%E9%A0%98%E5%B1%95-00823-hk-%E5%88%86%E5%88%A5%E4%BB%A527%E5%84%84%E5%8F%8A31-2%E5%84%84%E5%85%83%E6%94%B6%E8%B3%BC%E6%9F%B4%E7%81%A3%E5%80%89%E5%BA%AB%E5%92%8C%E7%B4%85%E7%A3%A1%E5%81%9C%E8%BB%8A%E5%A0%B4%E5%A4%A7%E5%BB%88-043608905.html,2021-11-10,,10/11/2021,東區,2021,114.2456,22.2715,843351.8,814736.7
