唯一編碼,物業地址,全幢or大手,地盤面積,成交價,成交價(億港元),現樓面面積,現樓面呎價,可建樓面面積,重建呎價,地區,分類,入伙日期,照片,房間數目及每間售價,賣家,買家,資料來源,新聞連結,資料日期,備註,Date,地區_18區,數據年份,longitude_lands,latitude_lands,easting_lands,northing_lands
2022H007,六合街19號貝爾特酒店全幢（19 Luk Hop Street）,全幢,"23,800平方呎",20億港元,20,"285,000平方呎","7,018港元/平方呎",,,新蒲崗,酒店,27/11/2012,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022H007.jpg,"房間數目:695
每間售價: $2,877,698",新世界,宏安地產(35%) 、外資基金安祖高頓(65%),市場消息,https://hk.finance.yahoo.com/news/%E5%AE%8F%E5%AE%89%E5%9C%B0%E7%94%A2-01243-hk-%E5%A4%A5%E6%8A%95%E8%B3%87%E5%85%AC%E5%8F%B8ag%E4%BB%A520%E5%84%84%E5%85%83%E5%90%91%E6%96%B0%E4%B8%96%E7%95%8C-00017-020842046.html,2022-12-29,,29/12/2022,黃大仙區,2022,114.1997,22.3373,838618.8,822024.7
2022S008,飛鳳街31-41號正鳳樓2幢舊樓全幢（31-41 Fei Fung Street）,全幢,"3,900平方呎",2.57億港元,2.57,,,"9,539平方呎","26,942港元/平方呎",黃大仙,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022S008.jpg,,,頂邦有限公司,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/739203/%E5%AE%8F%E5%AE%892-57%E5%84%84%E7%B5%B1%E4%B8%80%E9%BB%83%E5%A4%A7%E4%BB%99%E8%88%8A%E6%A8%93%E6%A5%AD%E6%AC%8A-%E9%80%A3%E5%91%A8%E9%82%8A%E5%9C%B0%E7%9B%A4%E9%87%8D%E5%BB%BA250%E4%BC%99,2022-02-23,強拍,23/2/2022,黃大仙區,2022,114.1964,22.3436,838284.4,822720.1
2021I024,六合街3號大有大廈全幢（3 Luk Hop Street）,全幢,"5,700平方呎",3.45億港元,3.45,"30,826平方呎","11,192港元/平方呎","82,000平方呎","4,207港元/平方呎",新蒲崗,工業,15/1/1965,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021I024.jpg,,譚啓昌、伍碧英、譚紀綸,資深投資者林子峰,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/688388/%E6%96%A53-45%E5%84%84%E8%B3%BC%E6%96%B0%E8%92%B2%E5%B4%97%E5%85%A8%E5%B9%A2%E5%B7%A5%E5%BB%88-%E6%9E%97%E5%AD%90%E5%B3%B0-%E6%94%BF%E7%AD%96%E5%B0%8D%E5%B7%A5%E5%BB%88%E6%9C%89%E6%94%AF%E6%8C%81,2021-10-13,,13/10/2021,黃大仙區,2021,114.1989,22.3379,838533.6,822087.8
2020M006,沙浦道83號御‧豪門地下2號舖，1樓及2樓（83 Sa Po Road）,大手,,4.57億港元,4.57,"33,775平方呎","13,531港元/平方呎",,,九龍城,商場或商鋪或基座商鋪,6/1/2010,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020M006.jpg,,華懋集團,香港伍倫貢學院,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/519515/%E8%8F%AF%E6%87%8B%E9%9B%86%E5%9C%984-57%E5%84%84%E6%B2%BD%E5%BE%A1-%E8%B1%AA%E9%96%80%E4%B8%80%E7%B1%83%E5%AD%90%E8%88%96-%E9%A6%99%E6%B8%AF%E4%BC%8D%E5%80%AB%E8%B2%A2%E5%AD%B8%E9%99%A2%E6%89%BF%E6%8E%A5,2020-09-04,,4/9/2020,黃大仙區,2020,114.1925,22.3309,837880,821315.8
2020R003,飛鳳街45號天虹之家(近九成業權)（45 Fei Fung Street）,大手,"6,532平方呎",3.2億港元,3.2,"30,000平方呎","10,667港元/平方呎","54,216平方呎","5,902港元/平方呎",黃大仙,商住,11/1/1968,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020R003.jpg,,天虹紡織製衣集團曹誠淵,厚威有限公司,市場消息,https://paper.hket.com/article/2564103/%E9%BB%83%E5%A4%A7%E4%BB%99%E8%88%8A%E6%A8%93%20%E8%B2%A1%E5%9C%983.2%E5%84%84%E6%94%B6%E8%B3%BC,2020-02-14,,14/2/2020,黃大仙區,2020,114.1962,22.3436,838259.4,822725
2019M003,富美街17號一籃子物業（17 Fu Mei street）,大手,,7.52億港元,7.52,"26,595平方呎",,,,黃大仙,商場或商鋪或基座商鋪,1982年,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019M003.jpg,,領展,基匯資本,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/270393/%E5%8F%88%E8%B3%A3%E5%95%86%E5%A0%B4-%E9%A0%98%E5%B1%95%E4%BB%A5120%E5%84%84%E5%85%83%E5%94%AE12%E5%80%8B%E5%95%86%E5%A0%B4%E4%BA%88%E5%9F%BA%E5%8C%AF%E8%B3%87%E6%9C%AC-%E5%8D%97%E5%8D%80%E4%BD%94%E5%85%A9%E5%80%8B,2019-01-08,"1、2018年12月成交，2019年1月登記；
2、成交物業主要包括橫頭磡邨內一幢3層高商場、一個單層街市、一幢5層高錯層式停車場大廈，以及相關地方及露天泊車位，合共提供290個泊車位。",8/1/2019,黃大仙區,2019,114.1873,22.3411,837340,822447
2019R006,鳴鳳街22-24號 (80%業權)（22-24 Ming Fung Street）,大手,"1,800平方呎",0.9億港元,0.9,,,"16,200平方呎","5,556港元/平方呎",黃大仙,商住,23/3/1964,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019R006.jpg,,,武夷集團,市場消息,https://www.stheadline.com/article/1099665/%E6%AD%A6%E5%A4%B725%E5%84%84%E6%94%B6%E8%B3%BC%E9%BB%83%E5%A4%A7%E4%BB%99%E8%88%8A%E6%A8%93,2019-03-20,重建呎價根據80%業權價值計算,20/3/2019,黃大仙區,2019,114.197,22.3443,838337.4,822800.7
2019P003,翠竹街8號翠竹花園280個停車位（8 Chui Chuk Street）,大手,,2.19億港元,2.19,,,,,黃大仙,車位或停車場大廈,21/9/1989,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019P003.jpg,,旭日(蔡氏)集團有限公司,華萬有限公司,土地註冊處,,2019-04-29,每個車位平均作價約78.2萬,29/4/2019,黃大仙區,2019,114.1894,22.3456,837555.5,822944.9
2024R011,聯合道25號全幢（25 Junction Road）,全幢,"1,400平方呎",0.37億港元,0.37,"4,834平方呎","7,654港元/平方呎",,,九龍城,1960年及之前入伙舊樓,23/12/1955,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2024R011.jpg,,,,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/1002801/%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F%E4%B9%9D%E9%BE%8D%E5%9F%8E%E8%88%8A%E6%A8%93%E9%8A%80%E4%B8%BB%E7%9B%A43700%E8%90%AC%E6%B2%BD-%E5%85%A7%E5%9C%B0%E5%AE%A2%E6%89%BF%E6%8E%A5-%E4%BD%8E%E6%84%8F%E5%90%91%E5%83%B96%E6%88%90,2024-03-21,銀主盤,21/3/2024,九龍城區,2024,114.187,22.3316,837307.3,821394.2
2024R013,施他佛道13號屋全幢（13 Stafford Road）,全幢,"5,166平方呎",1.38億港元,1.38,"3,804平方呎(實用)","36,356港元/平方呎(實用)",,,九龍塘,住宅,26/5/2011,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2024R013.jpg,,,東成鮮果國際有限公司,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/1003270/%E4%B9%9D%E9%BE%8D%E5%A1%98%E6%96%BD%E4%BB%96%E4%BD%9B%E9%81%93%E7%8D%A8%E7%AB%8B%E5%B1%8B1-38%E5%84%84%E6%B2%BD-%E7%94%9F%E6%9E%9C%E5%85%AC%E5%8F%B8%E6%89%BF%E6%8E%A5-%E4%B8%8A%E6%89%8B%E5%8B%81%E8%9D%955200%E8%90%AC,2024-03-23,,23/3/2024,九龍城區,2024,114.1778,22.3313,836362.2,821365.8
2023M006,沐寧街2號啟德1號(I)商業部份連商用車位（2 Muk Ning Street）,大手,,3.3億港元,3.3,"17,360平方呎",,,,啟德,商場或商鋪或基座商鋪,22/6/2017,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023M006.jpg,,中國海外,建華集團或有關人士,土地註冊處及市場消息,https://hk.on.cc/hk/bkn/cnt/finance/20230406/bkn-20230406173510069-0406_00842_001.html,2023-04-06,市場消息：含24個私家車車位及3個電單車車位。,6/4/2023,九龍城區,2023,114.2007,22.3296,838724.5,821174.6
2023M007,沐寧街8號啟德1號(II)商業部份連商用車位（8 Muk Ning Street）,大手,,3.2億港元,3.2,"17,780平方呎",,,,啟德,商場或商鋪或基座商鋪,19/7/2017,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023M007.jpg,,中國海外,建華集團或有關人士,土地註冊處及市場消息,https://hk.on.cc/hk/bkn/cnt/finance/20230406/bkn-20230406173510069-0406_00842_001.html,2023-04-06,市場消息：含26個私家車車位及3個電單車車位。,6/4/2023,九龍城區,2023,114.2003,22.3292,838680.8,821127.4
2023M009,沐泰街7號THE HENLEY基座商舖（7 Muk Ning Street）,大手,,5.28億港元,5.28,"26,132平方呎","20,205港元/平方呎",,,啟德,商場或商鋪或基座商鋪,8/11/2021,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023M009.jpg,,恒地,陳明照及盧海強,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/916073/%E5%85%A7%E5%9C%B0%E5%AE%A25-28%E5%84%84%E8%B3%BCthe-henley%E5%95%86%E5%A0%B4-%E5%91%8E%E5%83%B9%E8%BC%833%E5%80%8B%E6%9C%88%E5%89%8D%E5%95%9F%E5%BE%B71%E8%99%9F%E8%B2%B4%E4%B8%80%E6%88%90,2023-07-06,,6/7/2023,九龍城區,2023,114.198,22.327,838448.3,820883.3
2023F006,多實街1號屋地全幢（1 Dorset Crescent）,全幢,"9,920平方呎",2.1億港元,2.1,"5,323平方呎(實用)","39,448港元/平方呎(實用)",,,九龍塘,住宅,20/5/1974,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023F006.jpg,,史習成,王丁本,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/915956/%E6%8A%95%E8%B3%87%E8%80%85%E7%8E%8B%E4%B8%81%E6%9C%AC%E8%BF%912-1%E5%84%84%E8%B3%BC%E4%B9%9D%E9%BE%8D%E5%A1%98%E5%A4%9A%E5%AF%A6%E8%A1%97%E5%B1%8B%E5%9C%B0,2023-07-05,現由教育機構租用,5/7/2023,九龍城區,2023,114.1786,22.3384,836446,822143.1
2023C007,落山道72至76號及土瓜灣道72至76B號全幢（72-76 Lok Shan Road & 72-76B To Kwa Wan Road）,全幢,"10,287平方呎",10.71億港元,10.71,,,,,土瓜灣,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023C007.jpg,,,恒地,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/906537/%E6%81%92%E5%9C%B010-71%E5%84%84%E7%B5%B1%E4%B8%80%E5%9C%9F%E7%93%9C%E7%81%A3%E8%90%BD%E5%B1%B1%E9%81%93%E8%88%8A%E6%A8%93-%E6%AD%B7%E6%99%82%E4%B8%80%E5%B9%B4%E5%8D%8A-%E5%9B%9B%E5%BA%A6%E5%BC%B7%E6%8B%8D%E5%85%B142%E5%84%84,2023-06-08,"1、強拍；
2、發展商將會就本地盤連同周邊地盤一併發展，整個重建發展項目範圍包括土瓜灣道68A至76B號、落山道58至76號、下鄉道14至20號、麗華街1至7號，以及美華街1至9號及2至8號，總地盤面積約4.25萬平方呎，可建總樓面約38.2萬平方呎。",8/6/2023,九龍城區,2023,114.1895,22.3164,837564.6,819710.1
2023R003,土瓜灣道19號全幢（19 To Kwa Wan Road）,全幢,,0.77億港元,0.77,,,,,土瓜灣,1960年及之前入伙舊樓,28/6/1957,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023R003.jpg,,CHAN KAI CHIU 1/4 &CHEUNG MI LING 3/4,市區重建局,土地註冊處,,2023-03-13,市區重建局收購,13/3/2023,九龍城區,2023,114.1882,22.3145,837439.1,819501.8
2023R016,義本道6號龍圃別墅全幢（6 Eastbourne Road）,全幢,"21,640平方呎",9.66億港元,9.66,,,"38,952平方呎","24,800港元/平方呎",九龍塘,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023R016.jpg,,,雅居樂,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/918163/%E8%88%8A%E6%A8%93%E5%BC%B7%E6%8B%8D-%E9%9B%85%E5%B1%85%E6%A8%82%E5%BA%95%E5%83%B99-66%E5%84%84%E7%B5%B1%E4%B8%80%E4%B9%9D%E9%BE%8D%E5%A1%98%E9%BE%8D%E5%9C%83%E5%88%A5%E5%A2%85,2023-07-11,強拍,11/7/2023,九龍城區,2023,114.1767,22.3431,836254.7,822670.1
2023R029,自由道4號全幢（4 Liberty Avenue）,全幢,"4,882平方呎",3.55億港元,3.55,,,"39,900平方呎","8,897港元/平方呎",何文田,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023R029.jpg,,,恒地,市場消息,https://news.mingpao.com/pns/%E7%B6%93%E6%BF%9F/article/20231220/s00004/1703004739772/%E6%81%92%E5%9C%B03-55%E5%84%84%E5%BA%95%E5%83%B9-%E7%B5%B1%E4%B8%80%E8%87%AA%E7%94%B1%E9%81%934%E8%99%9F%E6%A5%AD%E6%AC%8A,2023-12-20,強拍,20/12/2023,九龍城區,2023,114.1745,22.3187,836019.2,819968.8
2022I005,旭日街17號泰捷工廠大廈85.64%權益（17 Yuk Yat Street）,大手,,3.05億港元,3.05,,,,,土瓜灣,工業,9/2/1974,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022I005.jpg,,禹洲集團,泰捷,市場消息,https://finance.mingpao.com/fin/instantf/20220222/1645521040269/%E7%A6%B9%E6%B4%B23-05%E5%84%84%E5%94%AE%E5%9C%9F%E7%93%9C%E7%81%A3%E6%B3%B0%E6%8D%B7%E5%B7%A5%E5%BB%A0%E5%A4%A7%E5%BB%88-%E8%B3%BA620%E8%90%AC,2022-02-22,,22/2/2022,九龍城區,2022,114.1918,22.3165,837806.1,819726.5
2022I009,馬頭圍道21號義達工業大廈一籃子物業（21 Ma Tau Wai Road）,大手,,3.5億港元,3.5,"92,000平方呎",,,,紅磡,工業,17/12/1971,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022I009.jpg,,鄧成波家族,Storhub迷你倉,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/749793/%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F3-5%E5%84%84%E6%B2%BD%E7%B4%85%E7%A3%A1%E4%B8%80%E7%B1%83%E5%AD%90%E5%B7%A5%E5%BB%88-%E8%BF%B7%E4%BD%A0%E5%80%89storhub%E6%8E%A5%E8%B2%A8,2022-03-22,市場消息：涉及易手的樓面包括地下3個落貨位、1樓A及B室、2樓B、C、D室、4樓至6樓B室，以及地下7個車位。,22/3/2022,九龍城區,2022,114.1878,22.3084,837393.3,818824.2
2022M002,城南道22號全幢（22 South Wall Road）,全幢,,0.49億港元,0.49,"4,500平方呎","10,933港元/平方呎",,,九龍城,1960年及之前入伙舊樓,14/2/1957,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022M002.jpg,,HOLISAND LTD,NEW RICH GLOBAL LIMITED,EPRC,,2022-01-06,2021年12月成交，2022年1月登記,6/1/2022,九龍城區,2022,114.1911,22.3291,837735,821121.7
2022M009,馬頭圍道209號海悅豪庭基座商業部份及連42個車位(海悅廣場)（209 Ma Tau Wai Road）,大手,,4.25億港元,4.25,"39,147平方呎",,,,土瓜灣,商場或商鋪或基座商鋪,31/7/1998,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022M009.jpg,,中國海外,俊業集團,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/812090/%E4%BF%8A%E6%A5%AD%E9%9B%86%E5%9C%984-25%E5%84%84%E8%B3%BC%E5%9C%9F%E7%93%9C%E7%81%A3%E6%B5%B7%E6%82%85%E5%BB%A3%E5%A0%B4-%E5%B0%87%E7%BF%BB%E6%96%B0%E4%BD%9C%E7%89%B9%E8%89%B2%E6%B0%91%E7%94%9F%E5%95%86%E5%A0%B4,2022-08-25,,25/8/2022,九龍城區,2022,114.1879,22.3218,837401.2,820314.9
2022H003,蕪湖街83號逸·酒店全幢（83 Wuhu Street）,全幢,"10,200平方呎",16.5億港元,16.5,"122,108平方呎","13,513港元/平方呎",,,紅磡,酒店,18/12/1996,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022H003.jpg,"房間數目:388
每間售價: $4,252,577",莊士集團,,市場消息,https://std.stheadline.com/realtime/article/1817184/%E5%8D%B3%E6%99%82-%E5%9C%B0%E7%94%A2-%E6%9C%80%E6%96%B0%E5%B7%A5%E5%95%86%E9%8B%AA%E6%88%90%E4%BA%A4-%E8%8E%8A%E5%A3%AB%E7%B4%85%E7%A3%A1%E9%80%B8-%E9%85%92%E5%BA%9716-5%E5%84%84%E6%98%93%E6%89%8B,2022-03-10,,10/3/2022,九龍城區,2022,114.1862,22.3069,837229.2,818659.3
2022R008,北帝街105至105A號2幢舊樓全幢（105-105A Pak Tai Street）,全幢,"2,132平方呎",1.2億港元,1.2,,,"17,861平方呎","6,719港元/平方呎",土瓜灣,1960年及之前入伙舊樓,4/6/1954,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R008.jpg,,武夷集團,WU YI HOLDING CO LTD,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/750264/%E6%AD%A6%E5%A4%B7%E9%9B%86%E5%9C%981-2%E5%84%84%E6%B2%BD%E5%9C%9F%E7%93%9C%E7%81%A3%E5%8C%97%E5%B8%9D%E8%A1%97%E5%9C%B0%E7%9B%A4,2022-03-23,,23/3/2022,九龍城區,2022,114.189,22.3226,837512.2,820402.8
2022R014,獅子石道29號至31號金倫樓全幢（29-31 Lion Rock Road）,全幢,"2,060平方呎",1.8億港元,1.8,"18,536平方呎","9,711港元/平方呎",,,九龍城,商住,17/9/2014,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R014.jpg,,慈善道佛宗教團體省善真堂,道教團體蓬瀛仙館,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/774108/%E7%9C%81%E5%96%84%E7%9C%9F%E5%A0%821-8%E5%84%84%E6%B2%BD%E4%B9%9D%E9%BE%8D%E5%9F%8E%E5%96%AE%E5%B9%A2%E6%A8%93-%E8%93%AC%E7%80%9B%E4%BB%99%E9%A4%A8%E6%8E%A5%E8%B2%A8,2022-05-25,,25/5/2022,九龍城區,2022,114.188,22.3285,837413.7,821055.3
2022R017,衙前圍道54號全幢（54 Nga Tsin Wai Road）,全幢,,0.74億港元,0.74,"6,728平方呎","10,924港元/平方呎",,,九龍城,商住,10/11/1979,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R017.jpg,,FUNG  PING KEONG,陳煒進,土地註冊處,,2022-06-17,,17/6/2022,九龍城區,2022,114.1908,22.329,837701.4,821110
2022R020,亞皆老街102號的The Argyle全幢（102 Argyle Street）,全幢,"4,100平方呎",5.8億港元,5.8,"36,997平方呎","15,677港元/平方呎",,,何文田,商住,2/11/2015,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R020.jpg,,萬泰集團,朱鴻鈞,市場消息,https://std.stheadline.com/daily/article/2478269/%E6%97%A5%E5%A0%B1-%E5%9C%B0%E7%94%A2-%E8%90%AC%E6%B3%B0%E6%B2%BD%E5%94%AE%E4%BA%9E%E7%9A%86%E8%80%81%E8%A1%97%E7%A7%9F%E8%B3%83%E9%A0%85%E7%9B%AE-%E6%8A%95%E8%B3%87%E8%80%85%E6%9C%B1%E9%B4%BB%E9%88%9E5-8%E5%84%84%E6%89%BF%E6%8E%A5,2022-07-29,,29/7/2022,九龍城區,2022,114.1741,22.32,835987.2,820106.8
2022R034,聯合道18號蔚盈軒全幢（18 Junction Road）,全幢,"10,166平方呎",11.4億港元,11.4,"84,365平方呎(實用)","13,513港元/平方呎(實用)",,,九龍城,住宅,31/5/2016,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R034.jpg,,鄧成波家族,建灝集團,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/786272/%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F11%E5%84%84%E6%B2%BD%E4%B9%9D%E9%BE%8D%E5%9F%8E%E5%AF%8C%E8%B2%B4%E9%95%B7%E8%80%85%E5%B1%8B-%E5%B8%B3%E8%9D%951-6%E5%84%84-%E5%BB%BA%E7%81%9D%E5%9C%B0%E7%94%A2%E6%8E%A5%E8%B2%A8,2022-06-27,用作長者服務式住宅，提供92伙,27/6/2022,九龍城區,2022,114.1872,22.3283,837326.8,821029.3
2022R037,根德道8號豪宅屋地全幢（8 Kent Road）,全幢,"10,767平方呎",5.38億港元,5.38,"6,736平方呎(實用)","79,869港元/平方呎(實用)","6,460平方呎","83,282港元/平方呎",九龍塘,住宅,16/7/2015,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R037.jpg,,周大褔,麥慶德錦龍汽車集團,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/806450/%E5%91%A8%E5%A4%A7%E7%A6%8F%E9%9B%86%E5%9C%98%E6%B2%BD%E8%B2%A8-%E4%B9%9D%E9%BE%8D%E5%A1%98%E6%A0%B9%E5%BE%B7%E9%81%93%E8%B1%AA%E5%AE%85%E5%B1%8B%E5%9C%B05-38%E5%84%84-%E8%B3%A3%E6%AE%BC-%E6%98%93%E6%89%8B,2022-08-22,,22/8/2022,九龍城區,2022,114.1767,22.3386,836246.9,822173.9
2022R039,太子道西452至464號一列舊樓全幢（452-464 Prince Edward Road West）,全幢,"8,314平方呎",5.75億港元,5.75,"40,534平方呎","14,186港元/平方呎","74,826平方呎","7,684港元/平方呎",九龍城,商業,16/9/1965,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022R039.jpg,,廣基有限公司、厚豐發展有限公司,Ample Surplus Limited,市場消息,https://finance.mingpao.com/fin/instantp/20220915/1663226434556/%E7%B0%A1%E5%9F%BA%E5%AF%8C%E3%80%8C%E6%8F%92%E6%97%97%E3%80%8D%E4%B9%9D%E9%BE%8D%E5%9F%8E-5-75%E5%84%84%E8%B3%BC%E5%A4%AA%E5%AD%90%E9%81%93%E8%A5%BF%E5%9C%B0%E7%9B%A4,2022-09-15,须先完成改契补地价才能重建,15/9/2022,九龍城區,2022,114.1912,22.3282,837739.7,821020.6
2022S001,衙前塱道3-13號全幢（3-13 Nga Tsin Long Road）,全幢,"7,030平方呎",7.05億港元,7.05,,,"59,315平方呎","11,886港元/平方呎",九龍城,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022S001.jpg,,,遠洋集團,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/725339/%E9%81%A0%E6%B4%8B%E4%BB%A5%E5%BA%95%E5%83%B97-05%E5%84%84%E7%B5%B1%E4%B8%80%E4%B9%9D%E9%BE%8D%E5%9F%8E%E8%A1%99%E5%89%8D%E5%A1%B1%E9%81%93%E8%88%8A%E6%A8%93%E6%A5%AD%E6%AC%8A,2022-01-18,強拍,18/1/2022,九龍城區,2022,114.1891,22.3282,837524.7,821013
2022S004,麗華街1至7號、下鄉道14至16號及美華街2至8號的舊樓全幢（1-7 Lai Wa Street & 14-16 Ha Heung Road & 2-8 Mei Wa Street）,全幢,"9,733平方呎",9.25億港元,9.25,,,,,土瓜灣,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022S004.jpg,,,恒地,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/730995/%E6%81%92%E5%9C%B0%E5%9C%9F%E7%93%9C%E7%81%A3%E8%88%8A%E6%A8%93%E7%8D%B2%E6%89%B9%E5%BC%B7%E6%8B%8D-%E5%BA%95%E5%83%B99-25%E5%84%84%E8%BC%834%E5%B9%B4%E5%89%8D%E4%BC%B0%E5%80%BC%E9%AB%981%E5%80%8D,2022-02-03,"1、強拍；
2、根據恒地年報資料，整個項目重建範圍涵蓋土瓜灣道68A至76B號、落山道58至76號、下鄉道14至20號、麗華街1至7號、美華街1至9號及2至8號。佔地總面積共約4.25萬方呎，預計重建為商住項目，總樓面約37.44萬方呎。",3/2/2022,九龍城區,2022,114.1891,22.3166,837523.7,819728.7
2022S012,啟德道28-30號舊樓地盤全幢（28-30 Kai Tak Road）,全幢,"1,830平方呎",1.48億港元,1.48,,,,,九龍城,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022S012.jpg,,中國燃氣,市區重建局,EPRC及市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/797933/%E5%B8%82%E5%BB%BA%E5%B1%801-48%E5%84%84%E6%94%B6%E8%B3%BC%E5%95%9F%E5%BE%B7%E9%81%93%E8%88%8A%E6%A8%93%E5%9C%B0%E7%9B%A4-%E5%8E%9F%E6%A5%AD%E4%B8%BB%E7%82%BA%E4%B8%AD%E5%9C%8B%E7%87%83%E6%B0%A3,2022-07-30,"1、市區重建局收購；
2、市區重建局發展項目：31–49沙浦道 (單數), 55–73沙浦道 (單數) 與 24–82啟德道 (雙數)，總樓面面積約48,168平方米。",30/7/2022,九龍城區,2022,114.1923,22.3293,837859,821135.5
